STATEFIP,State,hhNonEnglish,hhNonEngParEngChld,hhTotal,pctNonEnglish,pctNonEngParEngChld
06,California,6682786,2044220,13865532,48.2,14.7
48,Texas,4339494,1301405,10291181,42.2,12.6
34,New Jersey,1273854,354920,3415443,37.3,10.4
32,Nevada,413903,116548,1136371,36.4,10.3
35,New Mexico,366119,80167,823185,44.5,9.7
04,Arizona,921100,254966,2729389,33.7,9.3
36,New York,2859372,651403,7915533,36.1,8.2
12,Florida,2770471,659108,8167921,33.9,8.1
15,Hawaii,190817,40717,503021,37.9,8.1
09,Connecticut,432390,105383,1483930,29.1,7.1
17,Illinois,1489227,363723,5143368,29,7.1
25,Massachusetts,885550,200059,2866131,30.9,7
49,Utah,320183,69235,1024483,31.3,6.8
53,Washington,826690,201181,2994440,27.6,6.7
44,Rhode Island,130283,29798,451969,28.8,6.6
24,Maryland,611421,146881,2345795,26.1,6.3
02,Alaska,81826,16452,280438,29.2,5.9
08,Colorado,574482,133389,2268651,25.3,5.9
51,Virginia,820657,188736,3395266,24.2,5.6
41,Oregon,383166,86588,1700607,22.5,5.1
13,Georgia,911657,199220,4019406,22.7,5
10,Delaware,79632,17669,388290,20.5,4.6
20,Kansas,251694,50950,1209456,20.8,4.2
27,Minnesota,474802,95849,2317553,20.5,4.1
31,Nebraska,170048,32950,810913,21,4.1
37,North Carolina,823480,175199,4242396,19.4,4.1
16,Idaho,142466,26277,660162,21.6,4
40,Oklahoma,321899,59583,1590132,20.2,3.7
42,Pennsylvania,1064107,189513,5476648,19.4,3.5
11,District of Columbia,79000,9727,323506,24.4,3
26,Michigan,765758,122821,4163352,18.4,3
18,Indiana,502359,80641,2759553,18.2,2.9
55,Wisconsin,428014,72150,2503730,17.1,2.9
05,Arkansas,212734,33221,1242422,17.1,2.7
19,Iowa,233287,37302,1364025,17.1,2.7
33,New Hampshire,96882,14085,573991,16.9,2.5
47,Tennessee,450418,69123,2755046,16.3,2.5
45,South Carolina,340205,49998,2057856,16.5,2.4
22,Louisiana,368828,40704,1868569,19.7,2.2
56,Wyoming,43865,5391,244355,18,2.2
39,Ohio,838071,106290,4991481,16.8,2.1
29,Missouri,421752,51305,2589424,16.3,2
46,South Dakota,67933,7144,378397,18,1.9
01,Alabama,291040,35022,1985671,14.7,1.8
21,Kentucky,295497,34427,1866508,15.8,1.8
23,Maine,94365,8799,596402,15.8,1.5
38,North Dakota,62682,4889,343534,18.2,1.4
28,Mississippi,176502,15396,1199366,14.7,1.3
50,Vermont,41272,3567,285441,14.5,1.2
30,Montana,64249,5095,456744,14.1,1.1
54,West Virginia,93788,5368,780031,12,0.7
